country,doc_id,document_url,downloaded_at,evaluation_type,executive_summary,file_path,implementing_partners,language,page_count,publication_year,region,sdg_tags,source,thematic_area,title
Tanzania,UNDP-EVAL-20240001,https://erc.undp.org/api/documents/1/pdf,2025-11-19T15:45:42.130239,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 1 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2023/undp_eval_20240001_Evaluation_1__Climate___Resili.pdf,UNDP|Government Agency,en,41,2023,Africa,SDG2|SDG7|SDG12,UNDP ERC,Governance,Evaluation 1: Climate & Resilience Project - Year 2023
Uganda,UNDP-EVAL-20240002,https://erc.undp.org/api/documents/2/pdf,2025-11-19T15:45:42.141578,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 2 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2022/undp_eval_20240002_Evaluation_2__Climate___Resili.pdf,UNDP|Ministry of Environment|Local NGO,en,42,2022,Africa,SDG3|SDG8|SDG13,UNDP ERC,Gender Equality,Evaluation 2: Climate & Resilience Project - Year 2022
Ethiopia,UNDP-EVAL-20240003,https://erc.undp.org/api/documents/3/pdf,2025-11-19T15:45:42.153259,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 3 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2021/undp_eval_20240003_Evaluation_3__Climate___Resili.pdf,UNDP|Government Agency,en,43,2021,Africa,SDG4|SDG9|SDG14,UNDP ERC,Resilience,Evaluation 3: Climate & Resilience Project - Year 2021
Nigeria,UNDP-EVAL-20240004,https://erc.undp.org/api/documents/4/pdf,2025-11-19T15:45:42.164156,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 4 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2020/undp_eval_20240004_Evaluation_4__Climate___Resili.pdf,UNDP|Ministry of Environment|Local NGO,en,44,2020,Africa,SDG5|SDG10|SDG15,UNDP ERC,Environment,Evaluation 4: Climate & Resilience Project - Year 2020
Ghana,UNDP-EVAL-20240005,https://erc.undp.org/api/documents/5/pdf,2025-11-19T15:45:42.175874,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 5 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2019/undp_eval_20240005_Evaluation_5__Climate___Resili.pdf,UNDP|Government Agency,en,45,2019,Africa,SDG6|SDG11|SDG16,UNDP ERC,Economic Development,Evaluation 5: Climate & Resilience Project - Year 2019
Senegal,UNDP-EVAL-20240006,https://erc.undp.org/api/documents/6/pdf,2025-11-19T15:45:42.186835,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 6 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2018/undp_eval_20240006_Evaluation_6__Climate___Resili.pdf,UNDP|Ministry of Environment|Local NGO,en,46,2018,Africa,SDG7|SDG12|SDG17,UNDP ERC,Climate Action,Evaluation 6: Climate & Resilience Project - Year 2018
Bangladesh,UNDP-EVAL-20240007,https://erc.undp.org/api/documents/7/pdf,2025-11-19T15:45:42.199130,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 7 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2017/undp_eval_20240007_Evaluation_7__Climate___Resili.pdf,UNDP|Government Agency,en,47,2017,Asia,SDG8|SDG13|SDG1,UNDP ERC,Governance,Evaluation 7: Climate & Resilience Project - Year 2017
India,UNDP-EVAL-20240008,https://erc.undp.org/api/documents/8/pdf,2025-11-19T15:45:42.210284,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 8 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2016/undp_eval_20240008_Evaluation_8__Climate___Resili.pdf,UNDP|Ministry of Environment|Local NGO,en,48,2016,Asia,SDG9|SDG14|SDG2,UNDP ERC,Gender Equality,Evaluation 8: Climate & Resilience Project - Year 2016
Vietnam,UNDP-EVAL-20240009,https://erc.undp.org/api/documents/9/pdf,2025-11-19T15:45:42.221210,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 9 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2015/undp_eval_20240009_Evaluation_9__Climate___Resili.pdf,UNDP|Government Agency,en,49,2015,Asia,SDG10|SDG15|SDG3,UNDP ERC,Resilience,Evaluation 9: Climate & Resilience Project - Year 2015
Brazil,UNDP-EVAL-20240010,https://erc.undp.org/api/documents/10/pdf,2025-11-19T15:45:42.233247,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 10 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2024/undp_eval_20240010_Evaluation_10__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,50,2024,Americas,SDG11|SDG16|SDG4,UNDP ERC,Environment,Evaluation 10: Climate & Resilience Project - Year 2024
