"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AK1","AL1","AM1","AN1","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","AX4","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72503014732","2023-01-01T00:15:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-16","KLGA ","V030","999,9,C,0000,5","00091,5,W,N","000805,5,N,5","+0078,5","+0072,5","99999,9","01,0002,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,2,0,1,5",,"30,5","61,5",,,,,,,"04,U,1372,9","09,5,+00091,5,99,9",,,"5,99,1,+00091,5,9",,,,"9,AGL   ,+99999,+99999","09,99,1,99,9,99,9,00091,1,99,9,99,9",,,,,,,,,,,,,"10102,5,10091,5",,,,,,,"61,5",,,,,,,,,,,"MET12112/31/22 19:15:03 SPECI KLGA 010015Z 00000KT 1/2SM R04/4500VP6000FT -RA FG VV003 08/07 A2983 RMK AO2 P0001 T00780072 (JG)",
"72503014732","2023-01-01T00:51:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-15","KLGA ","V030","070,5,N,0015,5","00091,5,W,N","000805,5,N,5","+0078,5","+0072,5","10098,5","01,0008,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,2,0,1,5",,"30,5","61,5",,,,,,,"04,U,1829,9","09,5,+00091,5,99,9",,,"5,99,1,+00091,5,9",,,,"9,AGL   ,+99999,+99999","09,99,1,99,9,99,9,00091,1,99,9,99,9",,,,,,,,,,,,,"10098,5,10087,5",,,,,,,"61,5",,,,,,,,,,,"MET12312/31/22 19:51:03 METAR KLGA 010051Z 07003KT 1/2SM R04/P6000FT -RA FG VV003 08/07 A2982 RMK AO2 SLP098 P0003 T00780072 (JG)",
"72503014732","2023-01-01T01:51:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-15","KLGA ","V030","999,9,C,0000,5","00091,5,W,N","000805,5,N,5","+0083,5","+0072,5","10086,5","01,0013,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,2,0,1,5",,"30,5","61,5",,,,,,,"04,U,1829,9","09,5,+00091,5,99,9",,,"5,99,1,+00091,5,9",,,,"9,AGL   ,+99999,+99999","09,99,1,99,9,99,9,00091,1,99,9,99,9",,,,,,,,,,,,,"10088,5,10077,5",,,,,,,"61,5",,,,,,,,,,,"MET12312/31/22 20:51:03 METAR KLGA 010151Z 00000KT 1/2SM R04/P6000FT -RA FG VV003 08/07 A2979 RMK AO2 SLP086 P0004 T00830072 (CL)",
"72503014732","2023-01-01T02:38:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-16","KLGA ","V030","999,9,C,0000,5","00122,5,M,N","003219,5,N,5","+0089,5","+0083,5","99999,9","01,0020,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,,,,,"04,U,0213,9","08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,,,,,,,,,,,"10088,5,10077,5",,,,,,,"61,5",,,,,,,,,,,"MET12012/31/22 21:38:03 SPECI KLGA 010238Z 00000KT 2SM R04/0700VP6000FT -RA BR OVC004 09/08 A2979 RMK AO2 P0008 T00890083 (CL)",
"72503014732","2023-01-01T02:51:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-15","KLGA ","V030","999,9,C,0000,5","00122,5,M,N","003219,5,N,5","+0083,5","+0078,5","10086,5","01,0033,9,5","03,0046,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,,,,,"04,U,1372,9","08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,,,,,,,,,,,"10088,5,10077,5","6,9,017,9,+999,9",,,,,,"61,5",,,,,,,,,,,"MET13912/31/22 21:51:03 METAR KLGA 010251Z 00000KT 2SM R04/4500VP6000FT -RA BR OVC004 08/08 A2979 RMK AO2 SLP086 P0011 60018 T00830078 56017 (CL)","Q01  00458PRCP03"
"72503014732","2023-01-01T03:00:00","4","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003200,1,9,9","+0083,1","+0078,1","10086,1","03,0050,3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+00150,1,99,9",,,,,,,"9,AGL   ,+99999,+99999","08,99,1,99,9,99,9,00150,1,99,9,99,9",,,,,,,,,,,,,"99999,9,10074,1","6,1,017,1,+999,9",,,,,,"61,1",,,,,,,,,,,"SYN08672503 11232 80000 10083 20078 30074 40086 56017 60057 761// 90251 333 96010 555 90103=",
"72503014732","2023-01-01T03:49:00","6","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-16","KLGA ","V030","230,5,N,0031,5","00122,5,M,N","012875,5,N,5","+0120,5","+0110,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5",,,"61,5",,,,,,,,,"07,5,+00122,5,99,9","08,5,+00457,5,99,9",,"3,99,1,+00122,5,9","4,99,1,+00457,5,9",,,,,,,,,,,,,,,,,"10075,5,10064,5",,,,,,,"61,5",,,,,,,,,,,"MET10212/31/22 22:49:03 SPECI KLGA 010349Z 23006KT 8SM -RA BKN004 OVC015 12/11 A2975 RMK AO2 P0006 FIBI (CL)",
"72503014732","2023-01-01T03:51:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-15","KLGA ","V030","240,5,N,0031,5","00122,5,M,N","012875,5,N,5","+0122,5","+0111,5","10074,5","01,0008,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5",,,"61,5",,,,,,,,,"07,5,+00122,5,99,9","08,5,+00457,5,99,9",,"3,99,1,+00122,5,9","4,99,1,+00457,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9",,,,,,,,,,,,,"10075,5,10064,5",,,,,,,"61,5",,,,,,,,,,,"MET11412/31/22 22:51:03 METAR KLGA 010351Z 24006KT 8SM -RA BKN004 OVC015 12/11 A2975 RMK AO2 SLP074 P0006 T01220111 (CL)",
"72503014732","2023-01-01T04:51:00","7","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","FM-15","KLGA ","V030","190,5,N,0031,5","00122,5,M,N","016093,5,N,5","+0122,5","+0106,5","10073,5","01,0000,2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5",,,"61,5",,,,,,,,,"07,5,+00122,5,99,9","07,5,+01006,5,99,9","08,5,+02438,5,99,9","3,99,1,+00122,5,9","3,99,1,+01006,5,9","4,99,1,+02438,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","240,M,+0128,1","240,N,+0056,1",,,,,,,,,,,"10075,5,10064,5",,,,,,,"61,5",,,,,,,,,,,"MET13912/31/22 23:51:03 METAR KLGA 010451Z 19006KT 10SM -RA BKN004 BKN033 OVC080 12/11 A2975 RMK AO2 PRESFR SLP073 P0000 T01220106 401280056 (CL)",
"72503014732","2023-01-01T04:59:00","6","40.77945","-73.88027","3.0","LAGUARDIA AIRPORT, NY US","SOD  ","KLGA ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0079,9,5",,,,,,,,,,,,,,,,,,"0000,9,5,999999,9,9",,,,"024,0000,9,5","AU,16,RA  ,5","AU,01,FG  ,5","AU,13,BR  ,5",,,,,,,,,,,"01,6,24,6","02,6,24,6","08,6,24,6",,,,,,,,,,,,"240,M,+0128,5","240,N,+0056,5",,,,,,,,,"024,W,+0072,D,4","024,D,+0067,D,4",,,"10152,4,10149,4","10154,4,10068,4",,,,,,,,,"1,24,00671,230,9999,5","2,24,00447,220,9999,5","3,24,00206,999,9999,5","024,X,097,D,4","024,N,077,D,4","024,M,089,D,4","SOD78224 HR PRECIPITATION (IN): 0.31 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):128  24 HR MAX TEMP (F): 5524 HR MIN TEMP (F): 42AVERAGE STATION PRESSURE:29.985 MINIMUM SEA LEVEL PRESSURE:29.73 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG):220 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.6 24 HR AVG TEMP (F): 49DEPART FROM NORMAL: 13  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 16 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):52  LATEST NIGHT MIN TEMP(1900-0800 LST):42 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 T    T    0.00 0.01 T    0.00 0.00 T    T    T    0.01 0.02 0.02 T    0.01 T    0.03 0.05 0.13 0.03 T","R01   1287AXW090R02   1287AXW090R03   1287AXW090"
