source_id,title,document_type,split,items_count,file_path,file_size_bytes,sha256,download_url,license,notes
mteb/climate-fever-v2,MTEB Climate-FEVER v2,dataset,test,7675,data/huggingface/mteb_climate-fever-v2/test.jsonl,533010,8800075d8ffece0e0bedf0ea9c8db017fce0b254308c788c7ebd915d351dca3e,https://huggingface.co/datasets/mteb/climate-fever-v2,CC-BY-SA-4.0,Fact-checking retrieval corpus for climate claims.
climatebert/climate_sentiment,ClimateBERT Sentiment Dataset,dataset,train,1000,data/huggingface/climatebert_climate_sentiment/train.jsonl,505079,dfcca395b787228b34db9a7bc414ab73d3547c095d6f072bbd253c814d88a341,https://huggingface.co/datasets/climatebert/climate_sentiment,CC-BY 4.0,Climate-related risk vs opportunity paragraphs with sentiment labels.
climatebert/climate_sentiment,ClimateBERT Sentiment Dataset,dataset,test,320,data/huggingface/climatebert_climate_sentiment/test.jsonl,178425,a850c9b9ad2e7ab91286ebb16e3ed594595eda549292aa6f062a756029ee4510,https://huggingface.co/datasets/climatebert/climate_sentiment,CC-BY 4.0,Climate-related risk vs opportunity paragraphs with sentiment labels.
rony/climate-change-MRC,Climate Bot MRC,dataset,train,1,data/huggingface/rony_climate-change-MRC/train.jsonl,12756164,8689ba769d0f91b0d835552b8ade9298e959a9bd930155c8ea949391c826ea68,https://huggingface.co/datasets/rony/climate-change-MRC,MIT,Machine reading comprehension samples from IJCAI-ECAI 2022 demo.
rony/climate-change-MRC,Climate Bot MRC,dataset,validation,1,data/huggingface/rony_climate-change-MRC/validation.jsonl,3618405,8ac8c934b9494184c769b4c3008af975cd6d597b49b1a82242c2faa042a07846,https://huggingface.co/datasets/rony/climate-change-MRC,MIT,Machine reading comprehension samples from IJCAI-ECAI 2022 demo.
rony/climate-change-MRC,Climate Bot MRC,dataset,test,1,data/huggingface/rony_climate-change-MRC/test.jsonl,1791434,2c172d94c64b32956c706f9207d24b8661952eae2e63a7d08720cd7518c29f6b,https://huggingface.co/datasets/rony/climate-change-MRC,MIT,Machine reading comprehension samples from IJCAI-ECAI 2022 demo.
climedataset/CliME,CliME Multimodal Climate Discourse Dataset,dataset,train,2579,data/huggingface/climedataset_CliME/train.jsonl,3665015,f868cef00ace44a8f70dd8c36e38707f4b0d6d0fa1a0458cb0aa65f1e4e53c43,https://huggingface.co/datasets/climedataset/CliME,CC-BY 4.0,Social-media style climate messaging with optional images.
ipcc/ar6/wgII/ch01,IPCC AR6 WGII Chapter 01: Point of Departure and Key Concepts,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH01_Point_of_Departure_and_Key_Concepts.pdf,3943780,47ac54db69241bca154b700a5bebad79109b381cc19b84cc65d1955326619afb,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter01.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch02,IPCC AR6 WGII Chapter 02: Terrestrial and Freshwater Ecosystems and Their Services,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH02_Terrestrial_and_Freshwater_Ecosystems.pdf,21745080,70d3aff993d8229e96182bfde627765908e0afc701ab277fac3d1c89e2fc0942,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch03,IPCC AR6 WGII Chapter 03: Oceans and Coastal Ecosystems and Their Services,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH03_Oceans_and_Coastal_Ecosystems.pdf,21752444,c92ce7955f63012e1e30699b8859f6885cb5d5005412eca98cc6e586cc7e53d6,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter03.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch04,IPCC AR6 WGII Chapter 04: Water,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH04_Water.pdf,34848294,05e4c382a5b3955a65675680ed109b2efbb697e3b9e3e4e191edb1de893e3d82,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter04.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch05,"IPCC AR6 WGII Chapter 05: Food, Fibre and Other Ecosystem Products",report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH05_Food_Fibre_and_Ecosystem_Products.pdf,18123589,acd70aedc034db71057268638eb7b3edbb80b16e09d8e08c840b296bf79c1354,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter05.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch06,"IPCC AR6 WGII Chapter 06: Cities, Settlements and Key Infrastructure",report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH06_Cities_Settlements_and_Infrastructure.pdf,3651767,57e9bb6ec3f8b870899732dc73561bff007cf8c3b656fe97776ac688da0e12d7,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter06.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch07,"IPCC AR6 WGII Chapter 07: Health, Wellbeing and the Changing Structure of Communities",report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH07_Health_Wellbeing_Communities.pdf,8854173,3ccdf17c6365e591024e040b943d40d146790aa70627ef452dd9219acb9bf90b,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter07.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch08,"IPCC AR6 WGII Chapter 08: Poverty, Livelihoods and Sustainable Development",report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH08_Poverty_Livelihoods_Sustainable_Development.pdf,9005967,5f3dc8fa575faa28b4adcb792029bbcf1424bdc3ecf89b49b3cea9689bc402eb,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter08.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch09,IPCC AR6 WGII Chapter 09: Africa,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH09_Africa.pdf,31840195,ffffb8de5dcb9b26b7d8a3ce1eafeb86a9b600a6d7c4513df743687016546a71,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter09.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch10,IPCC AR6 WGII Chapter 10: Asia,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH10_Asia.pdf,9622808,bf2787136211056d69e3f7480c4b66a3d0e6ee68951b06a4af49181546a8a348,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter10.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch11,IPCC AR6 WGII Chapter 11: Australasia,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH11_Australasia.pdf,4625976,4257443892f3142fa322214f58db72cd0da229ac1d6d6269a9c8d1ce124b1184,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter11.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch12,IPCC AR6 WGII Chapter 12: Central and South America,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH12_Central_and_South_America.pdf,12366388,d308e270cdcd61c96b749fcb1675a3afe6fc9e55bf4b26b8a8454fbc32d7303a,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter12.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch13,IPCC AR6 WGII Chapter 13: Europe,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH13_Europe.pdf,23840939,09003db99ac6f491250adf55bd103e13a9a3679b15129a300f67f484eea7849f,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter13.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch14,IPCC AR6 WGII Chapter 14: North America,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH14_North_America.pdf,25688900,05ae119becba0ff853639267cb052caa2e3152ad61fd436af8118ac2fdb7f5ad,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter14.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
